name,origin_name_,sponsor_name_,sector_name_,period_name_,reference_period_name_,unit_of_enumeration_name_,organization_name_,administrative_data,legal_authority,observations,industry_name_,naics_coverage,documentation_url,short_description,long_description,limitations,fti,id,id_18
Annual Survey of Manufactures,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,y,"The Annual Survey of Manufactures is collected under the authority of Title 13, United States Code","The Annual Survey of Manufactures sample has ranged from as low as 50,000 establishments to as high as 75,000 establishments over the period of 1973 to present.",Manufacturing,"The Annual Survey of Manufactures (ASM) covers NAICS sectors 31 through 33, which are designated as Manufacturing.",http://www.census.gov/manufacturing/asm/index.html,"The Annual Survey of Manufactures (ASM) provides sample estimates of statistics for all manufacturing establishments with one or more paid employee. The U.S. Census Bureau conducts the ASM in each of the 4 years between the economic census which is collected for years ending in 2 and 7. Among the statistics included in this survey are: employment, payroll, value added by manufacture, cost of materials consumed, value of shipments, detailed capital expenditures, supplemental labor costs, fuels and electric energy used, and inventories by stage of fabrication.","The Annual Survey of Manufacturers (ASM) provides sample estimates of statistics for all manufacturing establishments with one or more paid employee. Manufacturing is defined as the mechanical, physical, or chemical transformation of materials or substances into new products. The assembly of components into new products is also considered manufacturing, except when it is appropriately classified as construction.

Establishments in the manufacturing sector are often described as plants, factories, or mills and typically use power-driven machines and materials-handling equipment. Also included in the manufacturing sector are some establishments that make products by hand, such as custom tailors and the makers of custom draperies. While manufacturers typically do not sell to the public, some establishments such as bakeries and candy stores that make products on the premises may be included.

The Census Bureau conducts the ASM in each of the 4 years between the economic census which is collected for years ending in 2 and 7. The economic census is the sample frame from which the ASM is chosen and presents more detailed data than the ASM.

Each of the establishments canvassed in the ASM are classified in 1 of 473 manufacturing industries in accordance with the industry definitions in the 1997 NAICS Manual.

In the NAICS system, an industry is generally defined as a group of establishments that have similar production processes. To the extent practical, the system uses supply based or production-oriented concepts in defining industries. The resulting group of establishments must be significant in terms of number, value added by manufacture, value of shipments, and number of employees.

In the 1997 Manufacturing Economic Census, all establishments were classified in particular industries based on the products they produced. If an establishment made products of more than one industry, it was classified in the industry with the largest product value.

The ASM is conducted on an establishment basis. A company operating at more than one location is required to file a separate report for each location or establishment selected in the sample. Companies engaged in distinctly different lines of activity at one location are requested to submit separate reports if the plant records permit such a separation and if the activities are substantial in size.

Occasionally, special supplemental questions are added to the ASM in order to collect information on specific topics of interest.  For example,
detailed information on fuels consumed:  quantity and cost of coal, coke, distillate fuel oil, residual fuel oil, natural gas and liquefied petroleum
gases were collected as part of the 1975-81 ASM.  Supplemental information on the use of computer networks for ordering supplies, managing
inventories, and managing sales, etc. were collected as part of the 1999 and 2000 ASM.

","Traditionally, The Census Bureaus objective for the ASM was to publish the most useful and accurate aggragate statistics for the survey year. The survey processors were concerned with individual establishments records only as they impact the aggreagates or the tests for confidentiality. As a result, many uncorrected nonsampling errors, and data anamolies remain in the data files. Many records contain improper company affiliation, omitted data, or erroneous data not judged to impact the aggregate statistics. Although the aggreagates are relatively unaffected, these microdata records could be significant when considered in light of a time series comparison, particularly if those comparisons are related to the size of the firm. 

The adoption of the North American Industry Classification System (NAICS) in the 1997 Economic Census has had a major impact on the comparability of current and historic data. Approximately half of the industries in the manufacturing sector of NAICS do not have comparable industries in the Standard Industrial Classification (SIC) system that was used in the past.

While most of the change affecting the manufacturing sector was change within the sector, some industries left manufacturing and others came into manufacturing. Prominent among those that left manufacturing are logging and portions of publishing. Prominent among the industries that came into the manufacturing sector are bakeries, candy stores where candy is made on the premises, custom tailors, makers of custom draperies, and tire retreading. 

All dollar values presented are expressed in current dollars. Consequently, when making comparisons with prior years, users of the data should consider the changes in prices that have occurred.

Data for cost of materials and value of shipments include varying amounts of duplication, especially at higher levels of aggregation. This is because the products of one establishment may be the materials of another. The value added statistics avoid this duplication and are, for most purposes, the best measure for comparing the relative economic importance of industries and geographic areas.

In ASM years, establishments included in the ASM sample with certainty weights are reclassified by industry only if the change in the primary activity from the prior year is significant or if the change has occurred for two successive years. This procedure prevents reclassification when there are minor shifts in product mix.

In ASM years, establishments included in the ASM sample with noncertainty weight are not shifted from one industry classification to another. They are retained in the industry where they were classified in the base census year. However, in the following census year, these ASM plants are allowed to shift from one industry to another.

The results of these rules covering the switching of plants from one industry classification to another are that some industries comprise different mixes of establishments in different survey years. Hence, comparisons between prior-year and current-year published totals, particularly at the six-digit NAICS level, should be viewed with caution. This is particularly true for the comparison between the data shown for a census year versus the data shown for the previous ASM year.






",y,1,1
National Crime Victimization Survey,Census Bureau Survey - sponsorship,Bureau of the Census,Households,Quarterly,Calendar Year,Household,Bureau of the Census,n,"The Bureau of Justice Statistics (BJS) sponsors the survey under the authority of Title 42, United States Code, Section 3732. The United States Census Bureau performs the work under the authority of Title 13, United States Code, Section 8.","The survey has a national sample of approximately 56,000 designated addresses located in approximately 658 primary sampling units throughout the United States. This sample is divided into six parts, each of which is interviewed.",Other (industries),Not Applicable - Demographic Survey,http://bjs.ojp.usdoj.gov/index.cfm?ty=dcdetail&iid=245,"The primary purpose of the National Crime Victimization Survey (NCVS) is to obtain, from respondents who are 12 years of age or older, an accurate and up-to-date measure of the amount and kinds of crime committed against them during a specific 6-month reference period preceding the month of interview.  The NCVS also collects detailed information about specific incidents of criminal victimization that the respondent reports for the 6-month reference period.  Furthermore, the NCVS is periodically used as the vehicle for fielding a number of supplements to provide additional information about crime and victimization.","<p>The National Crime Victimization Survey provides national level personal victimization and property crime rates from a general population sample. Data are gathered on types and incidence of crime; monetary losses and physical injuries due to crime; characteristics of the victims; and, where appropriate, characteristics of the offender. Periodically, the survey includes separate supplements on additional topics such as crime in schools, excessive use of force during contacts with law enforcement, identity theft, stalking, and crime in the workplace. More recently, numerous series of questions were added to the NCVS questionnaire to obtain information on important current issues such as crime against persons with disabilities, hate-related victimizations, and identity theft.</p>

<p>Each housing unit selected for the NCVS remains in the sample for three years, with each of seven interviews taking place at 6-month intervals.  An NCVS interviewer's first contact with a housing unit selected for the survey is in person.  Throughout the years, the mode of interviewing for the subsequent interviews (second through seventh) was changed to cut data collection costs.  Currently, all subsequent interviews are conducted by telephone whenever possible.</p>

<p>In order to be able to rotate part of the sample in and out every six months, the sample is divided into six groups or rotations.  Each rotation is then broken up into six pieces to spread the field workload over the six month period.  A panel consists of one piece (one sixth) of each rotation group and is interviewed each month of the six month period.</p>

<p>To elicit more accurate reporting of incidents, the NCVS uses the self-respondent method, which calls for the direct interviewing of each person 12 years or older in the household, with certain exceptions.</p>",The National Crime Victimization Survey is a self-responding survey where each household member 12 years of age or older is interviewed.  The survey has a NATIONAL sample; analysis at sub-national levels is not statistically valid. ,n,2,2
Census of Manufactures,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,"The Census of Manufactures is collected under the authority of Title 13, United States Code","The current manufacturing universe includes about 400,000 establishments. The population of manufacturing establishments has grown steadily from the 1963 population of 305,000.",Manufacturing,"The Census of Manufactures (CMF) covers NAICS sectors 31 through 33, which are designated as Manufacturing.",http://www.census.gov/epcd/www/97EC31.HTM,"<p>The Census of Manufactures (CMF) comprises establishments primarily engaged in the mechanical, physical, or chemical transformation of materials, substances, or components into new products.</p>
<p>Firms in the Economic Census are divided into those sent report forms and those not sent report forms. Establishments sent a report form include large employers, i.e., all multi-establishment firms, and all single-establishment employer firms with payroll above a specified cutoff, as well as a sample of small employers, i.e., single-establishment firms with payroll below a specified cutoff in industries for which specialized data precludes reliance solely on administrative records sources. The sample is stratified by industry and geography.</p>
<p>Small employers, i.e., single-establishment firms with payroll below a specified cutoff, are not selected into the small employer sample. Although the payroll cutoff varies by kind of business, small employers not sent a report form generally include firms with less than 10 employees and represent about 10 percent of total revenue of establishments covered in the census.  Data on revenue, payroll, and employment for these small employers were derived or estimated from administrative records of other federal agencies. Some of these firms were sent a shorter version of a report form to obtain industry classification information only.</p>
","The Manufacturing Economic Census covers all manufacturing establishments with one or more paid employees. Manufacturing is defined as the mechanical, physical,or chemical transformation of materials or substances into new products. The assembly of components into new products is also considered manufacturing, except when it is appropriately classified as construction.

Establishments in the manufacturing sector are often described as plants,factories,or mills and typically use power-driven machines and materials-handling equipment. Also included in the manufacturing sector are some establishments that make products by hand,like custom tailors and the makers of custom draperies.While manufacturers typically do not sell to the public,some establishments like bakeries and candy stores that make products on the premises may be included. 

The economic census is conducted on an establishment basis. A company operating at more than one location is required to file a separate report for each plant, factory, mill, or other location. Each establishment is assigned a separate industry classification based on its primary activity and not that of its parent company. 

Data for the manufacturing sector are provided for payroll, number of workers, cost of fuels, cost of electricity, energy consumed, cost of materials, purchased services,capital expenditures, depreciation, value of inventories, and value of total and product shipments.
","Data from the 1997 Economic Census are published primarily on the basis of the North American Industry Classification System (NAICS), unlike earlier censuses, which were published according to the Standard Industrial Classification (SIC) system. NAICS is in the process of being adopted in the United States, Canada, and Mexico. 

All dollar values presented are expressed in current dollars. Consequently, when making comparisons with prior years, users of the data should consider the changes in prices that have occurred.

Data for cost of materials and value of shipments include varying amounts of duplication, especially at higher levels of aggregation. This is because the products of one establishment may be the materials of another. The value added statistics avoid this duplication and are, for most purposes, the best measure for comparing the relative economic importance of industries and geographic areas. 

",y,3,3
Census of Mining,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,"The Census of Mining is collected under the authority of Title 13, United States Code, Sections 131, 191, and 224.","The 1987 Census of Mining canvased a population of approximately 35,000 establishments. The 1992 Census included approximately 30,000 establishments, and the 1997 Census covered approximately 25,000 establishments.",Mining,"The Census of Mining (CMI) covers NAICS sector 21, which is designated as Mining.",http://www.census.gov/epcd/www/97EC21.HTM,"<p>The Census of Mineral Industries (CMI) is comprised of establishments that extract naturally occurring mineral solids, such as coal and ores; liquid minerals, such as crude petroleum; and gases, such as natural gas. The term mining is used in the broad sense to include quarrying, well operations, beneficiating (e.g., crushing, screening, washing, and flotation), and other preparation customarily performed at the mine site, or as a part of mining activity. </p>

<p>Firms in the Economic Census are divided into those sent report forms and those not sent report forms. Establishments sent a report form include large employers, i.e., all multi-establishment firms, and all single-establishment employer firms with payroll above a specified cutoff, as well as a sample of small employers, i.e., single-establishment firms with payroll below a specified cutoff in industries for which specialized data precludes reliance solely on administrative records sources. The sample is stratified by industry and geography.</p>

<p>Small employers, i.e., single-establishment firms with payroll below a specified cutoff, are not selected into the small employer sample. Although the payroll cutoff varies by kind of business, small employers not sent a report form generally include firms with less than 10 employees and represent about 10 percent of total revenue of establishments covered in the census.  Data on revenue, payroll, and employment for these small employers were derived or estimated from administrative records of other federal agencies. Some of these firms were sent a shorter version of a report form to obtain industry classification information only.</p>
","The Mining Economic Census covers all mineral extraction establishments with one or more paid employees. The Mining sector comprises establishments that extract naturally occurring mineral solids, such as coal and ores; liquid minerals, such as crude petroleum; and gases, such as natural gas. The term mining is used in the broad sense to include quarrying, well operations, beneficiating (e.g., crushing, screening, washing, and flotation), and other preparation customarily performed at the mine site, or as a part of mining activity. 

The Mining sector distinguishes two basic activities: mine operation and mining support activities. Mine operation includes establishments operating mines, quarries, or oil and gas wells on their own account or for others on a contract or fee basis. Mining support activities include establishments that perform exploration (except geophysical surveying) and/or other mining services on a contract or fee basis. ","Data from the 1997 Economic Census are published primarily on the basis of the North American Industry Classification System (NAICS), unlike earlier censuses, which were published according to the Standard Industrial Classification (SIC) system. NAICS is in the process of being adopted in the United States, Canada, and Mexico. 

All dollar values presented are expressed in current dollars. Consequently, when making comparisons with prior years, users of the data should consider the changes in prices that have occurred.

",y,4,4
Survey of Manufacturing Technology,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Irregular,Calendar Year,Establishment,Bureau of the Census,y,"The Survey of Manufacturing Technology is collected under the authority of Title 13, United States Code","A mail-out/mail-back survey of approximately 10,000 establishments. The sample is selected from all in-scope establishments on the Standard Statistical Establishment List using a stratified random selection procedure.",Manufacturing,"The Survey of Manufacturing Technology covers NAICS sectors 31 through 33, which are designated as Manufacturing.",http://www.census.gov/econ/overview/ma0700.html,"The purpose of the Survey of Manufacturing Technology (SMT) is to measure the presence, use, and planned use of advanced technologies in the manufacturing sector. ","The Survey of Manufacturing Technology (SMT) provides the first comprehensive data on the use and diffusion of advanced technology in the manufacturing sector; provides a method for obtaining comparable information on technologies in other sectors (such as nondurable goods industries). 

Basic data are collected on the presence and plans for using advanced technologies, establishment characteristics, technologies and other topics. The survey covers 17 specific technologies, including numerically-controlled machines, computer-aided design or engineering technologies, programmable controllers and local area networks. Characteristics data include type of manufacturing, age of plant, primary customer, and price of products sold. Other basic questions include the reasons for not adopting technologies, and interaction with Federal defense agencies. 

The survey is conducted periodically, beginning in 1988, as needed to document changes and obtain needed new information. The first survey emphasized prevalence and plans, and was replicated in 1993. A one-time survey was conducted in 1992 to detail the barriers, benefits and costs of advanced technologies. Reference periods are usually for activities during the prior calendar year. 

The Department of Defense uses the data to assess the diffusion of technology in the manufacturing sector and plans to acquire technology. Other Federal agencies use the data to gauge competitiveness of the U.S. manufacturing sector. The data are also used by the private sector in market analysis, competitiveness assessments, and planning. ","All dollar values presented are expressed in current dollars. Consequently, when making comparisons with prior years, users of the data should consider the changes in prices that have occurred.",y,5,5
Survey of Plant Capacity Utilization,Census Bureau Survey - sponsorship,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,y,"The Survey of Plant Capacity Utilization is collected under the authority of Title 13, United States Code","A mail-out/mail-back survey of some 17,000 manufacturing establishments selected from the census of manufactures using a stratified probability procedure.",Manufacturing,"The Survey of Plant Capacity Utilization  covers NAICS sectors 31 through 33, which are designated as Manufacturing.",http://www.census.gov/econ/overview/ma0500.html,The Survey of Plant Capacity Utilization provides current data on the rates of capacity utilization in U.S. manufacturing plants.,"The Survey of Plant Capacity Utilization provides current data on the rates of capacity utilization in U.S. manufacturing plants. Data collected are for the fourth quarter and include number of days and hours worked; estimated value of production at full production capability; and estimated value of production achievable under national emergency conditions. Additional items include reasons why the plant may operate at less than full production; reasons why the estimate of full production capability changed from the prior year; and how quickly the plant could reach full production and national emergency levels of production.

Data were obtained annually since 1973; except no survey was conducted for 1989, 1991, and 1993. The 1994 survey collected data for 1993 and 1994, and the 1996 survey collected data for 1995 and 1996. Since 1997, the survey has been conducted on an annual basis. Reported data are for activity taking place during the fourth quarter of the survey year; data collection begins about 2 months after the reference quarter and continues for about 8 months.  

The Federal Reserve Board uses the data to benchmark its monthly estimates of capacity output and capacity utilization rates, and to formulate monetary policy. The Department of Defense and the Federal Emergency Management Agency use the data in assessing industrys ability to meet increasing demand for goods in a crisis situation quickly. The International Trade Administration uses the data to identify industries with potentially adverse import penetration. 

The survey is a mail-out/mail-back survey of some 17,000 manufacturing establishments selected from the census of manufactures using a stratified probability procedure. Establishments are stratified by 6-digit NAICS manufacturing industry, and selected with probabilities of selection proportionate to their value of shipments within each industry.  

A new sample selection is made every 5 years when data from the most recent census become available. In interim years, new establishments are identified from Federal tax records and the annual company organization survey. A sub-sample of these firms is added each year to the capacity utilization survey sample.  
 ","All dollar values presented are expressed in current dollars. Consequently, when making comparisons with prior years, users of the data should consider the changes in prices that have occurred.
",y,6,6
Ownership Change Database,Census Bureau Survey - no sponsorship,Bureau of the Census,Business,Quinquenially (every five years),Calendar Year,Establishment,Bureau of the Census,y,"U.S.Code, Title 13, Section 131 and 182.","Approximately 7,200 to 21,000 records, depending on year.",Manufacturing,Manufacturing sectors 31-33.,http://www.ces.census.gov/index.php/ces/cespapers?detail_key=101593,"The ownership change files tract changes in ownership of manufacturing establishments between consecutive census years.  That is, there is one file for ownership changes between 1963 and 1967, a second file for ownership changes between 1967 and 1972, etc. , through ownership changes between 1992 and 1997.  Select the file on the pick list according to the initial census year, e.g. select the 1963 file for changes between 1963 and 1967; select the 1967 file for changes between 1967 and 1972, etc.",,,y,153,153
National Longitudinal Survey,Census Bureau Survey - no sponsorship,Bureau of the Census,Households,Annually,Calendar Year,Individual Person,Bureau of the Census,n,"U.S.C., Title 13.","approximately 5,000",Other (industries),,http://www.bls.gov/nls,"Consists of four geographic data sets for four original cohorts of National
Longitudinal Surveys (NLS). They are the NLS of Young Men, Older Men, Young Women, Mature Women.  The Young Women's survey includes women who were ages 14-24 when first interviewed in 1968. The Mature Women's survey includes women who were ages 30-44 when first interviewed in 1967. The Young Men's survey includes men who were ages 14-24 when first interviewed in 1966. The Older Men's survey includes men who were ages 45-59 when first interviewed in 1966. The Young Men's survey was discontinued in 1981, the Older Men's survey was
discontinued in 1990, and the Mature Women's and Young Women's surveys were
discontinued in 2003.  These files are designed to add detailed geographic information to the public use files.

Prior approval by BLS is required before Census will entertain proposals requesting access to the NLS.  Interested researchers should consult http://www.bls.gov/nls/origcohortgeo.htm","Four geographic data sets for four original cohorts of National
Longitudinal Surveys (NLS) are available on the RDC network. They are the
NLS of Young Men, Older Men, Young Women, Mature Women.

The Young Women's survey includes women who were ages 14-24 when first
interviewed in 1968. The Mature Women's survey includes women who were ages
30-44 when first interviewed in 1967. The Young Men's survey includes men
who were ages 14-24 when first interviewed in 1966. The Older Men's survey
includes men who were ages 45-59 when first interviewed in 1966. The Young
Men's survey was discontinued in 1981, the Older Men's survey was
discontinued in 1990, and the Mature Women's and Young Women's surveys were
discontinued in 2003.

For the NLS of Young Men and Older Men, geographic variables are available
at the both the state and county levels, and the Primary Sampling Unit used
in the 1966 surveys is also available. For the NLS of Young Women and
Mature Women, more detailed geographic information are available, and
geographic variables include state, county, census track, block group,
latitude, longitude, and the names and locations of universities that the
respondents attended.
",,n,154,154
Longitudinal Business Database,Center for Economic Studies constructed data,Bureau of the Census,Business,Annually,Calendar Year,Establishment,Bureau of the Census,y,Title 13 U.S.C.,The LBD covers almost 24 million unique establishments from 1975 to present.,Combination (industries),"The LBD covers nearly all the non-farm private economy, as well as some public sector activities.",http://www.ces.census.gov/index.php/ces/cespapers?detail_key=101647,"The Longitudinal Business Database (LBD) is a research dataset constructed at the Center for Economic Studies.  Currently, the LBD contains the universe of all U.S. business establishments with paid employees from 1976 to present.  The LBD is invaluable to researchers examining entry and exit, gross job flows,and changes in the structure of the U.S. economy.  The LBD can be used alone or in conjunction with other Census Bureau surveys at the establishment and firm level of microdata. ","The Longitudinal Business Database (LBD) is a research dataset constructed at the Center for Economic Studies (CES).  Currently, the LBD contains the universe of all U.S. business establishments with paid employees from 1976 to 1999.  The LBD is updated annually - the next update scheduled for late 2006 will add data through 2004 .  

The LBD offers researchers at CES and its affiliated Research Data Centers (RDCs)  a number of features not available in other longitudinal datasets.  These include:

Long Time Series  - The LBD contains complete establishment histories from 1975 to 2005.  Precise birth and death year information are available for most establishments.

Industrial Scope - The LBD contains all employer establishments that are in scope for the Economic Census (i.e., all manufacturing, mining, construction, retail, wholesale, service, TCU and FIRE establishments) as well as a large number of public administration and other out of scope entities.

Improved Longitudinal linkages - In contructing the LBD, great care was taken to provide researchers with the most complete and accurate set of longitudinal establishment linkages possible.  This substantially reduces the number spurious establishment births and deaths observed in the data.  In addition, the LBD provides researchers with detailed flags that describe, for each establishment, the nature of the linkages over each year an establishment is observed in the data.

Basic establishment demographic data - The LBD contains basic information on establishment size, industry, location and ownership that permit researchers to analyze establishment demographics.

Linkages to other micro data - The research capabilities of the LBD can be greatly and easily enhanced by linking it to other establishment and firm information contained in Economic Census and survey files available at CES and the RDCs.

More detailed information about the LBD is available in Jarmin and Miranda (CES-WP-2002-17).


",,y,10,10
Current Population Survey March Supplement,Multiple or Other,Bureau of the Census,Households,Annually,Twelve (12) Months,Household,Bureau of Labor Statistics (BLS),y,"The U.S. Census Bureau and the BLS jointly sponsor the survey under the authorities of Title 13, United States Code, Section 182, and Title 29, United States Code, Sections 1-9.","The total sample size is approximately 72,000 assigned households per month located in 754 primary sampling units.",Other (industries),,http://www.bls.census.gov/cps/cpsmain.htm,"The Current Population Survey - March Supplement (CPS) collects data concerning work experience, several sources of income, migration, household composition, health insurance coverage, and receipt of noncash benefits. 
","The Annual Demographic Survey or March CPS supplement is the primary source of detailed information on income and work experience in the United States. Numerous publications based on this survey are issued each year by the Bureaus of Labor Statistics and Census. A public-use microdata file is available for private researchers, who also produce many academic and policy-related documents based on these data.

The Annual Demographic Survey is used to generate the annual Population Profile of the United States, reports on geographical mobility and educational attainment, and detailed analysis of money income and poverty status. The labor force and work experience data from this survey are used to profile the U.S. labor market and to make employment projections.

To allow for the same type of in-depth analysis of hispanics, additional hispanic sample units are added to the basic CPS sample in March each year. Additional weighting is also performed so that estimates can be made for households and families, in addition to persons. ",,n,11,11
